#Offline_Tubes: 333,346,349,352,431,444
#Sinusoidal_Tubes: 
#Channelkey,SPE_Gain
332,0.001190
334,0.001543
335,0.001306
336,0.001164
337,0.001500
338,0.001252
339,0.001116
340,0.001225
341,0.001337
342,0.001182
343,0.001360
344,0.001127
345,0.000973
347,0.001362
348,0.001255
350,0.001201
351,0.001336
353,0.000326
354,0.001693
355,0.001537
356,0.000993
357,0.001665
358,0.000696
359,0.000210
360,0.001294
361,0.000933
362,0.001142
363,0.001427
364,0.001273
365,0.001293
366,0.000854
367,0.001457
368,0.001547
369,0.000802
370,0.001183
371,0.001541
372,0.001392
373,0.001163
374,0.001162
375,0.001195
376,0.001160
377,0.001095
378,0.001168
379,0.001230
380,0.001111
381,0.001180
382,0.001473
383,0.001230
384,0.001197
385,0.001143
386,0.001204
387,0.001301
388,0.001227
389,0.001201
390,0.001033
391,0.001200
392,0.001123
393,0.001505
394,0.000774
395,0.001154
396,0.001139
397,0.001195
398,0.001185
399,0.001149
400,0.001142
401,0.001116
402,0.000911
403,0.000859
404,0.001343
405,0.001194
406,0.001405
407,0.001096
408,0.001039
409,0.001135
410,0.001222
411,0.001043
412,0.001179
413,0.001165
414,0.001105
415,0.000937
416,0.001215
417,0.001142
418,0.001201
419,0.001197
420,0.001074
421,0.001189
422,0.001297
423,0.001221
424,0.001232
425,0.001282
426,0.001083
427,0.001162
428,0.001200
429,0.001148
430,0.001226
432,0.001305
433,0.001156
434,0.001130
435,0.001257
436,0.001175
437,0.001289
438,0.001247
439,0.001216
440,0.001157
441,0.001194
442,0.001319
443,0.001312
445,0.000760
446,0.001335
447,0.001211
448,0.001217
449,0.001239
450,0.001172
451,0.001238
452,0.001370
453,0.001158
454,0.001156
455,0.001145
456,0.001199
457,0.001321
458,0.001244
459,0.001263
460,0.001237
461,0.001230
462,0.001331
463,0.001152
