##Channel,PMT_location,offset_value(ns),offset_std(ns),notes
332,Bottom,15.25,1.31,unreliable
334,Bottom,15.55,0.57,ok
335,Bottom,8.34,1.36,unreliable
336,Bottom,15.41,1.33,unreliable
338,Bottom,10.15,1.85,unreliable
339,Bottom,8.57,0.95,ok
340,Bottom,8.66,1.29,unreliable
341,Bottom,11.51,1.95,unreliable
343,Bottom,14.24,0.33,ok (low statistics)
344,Bottom,13.41,2.11,unreliable (low statistics)
347,Bottom,10.6,1.92,unreliable
348,Bottom,7.08,2.1,unreliable
350,Bottom,3.15,1.03,ok
351,Bottom,9.16,1.05,ok
353,Top,16.13,1.14,ok (low statistics)
354,Top,10.44,1.55,unreliable
355,Top,14.27,2.08,ok
356,Top,12.88,1.48,unreliable
357,Top,8.66,2.21,ok
358,Top,8.13,1.46,ok
360,Top,8.04,2.56,ok
361,Top,14.42,1.5,unreliable
362,Top,4.88,1.88,ok
363,Top,16.96,2.24,ok
364,Top,16.22,2.83,ok
365,Top,12.43,1.53,unreliable
366,Top,11.78,1.48,ok
367,Top,14.19,2.02,ok
368,Top,10.45,1.87,ok
369,Top,18.45,1.87,ok
370,Top,18.82,2.75,ok
371,Top,16.93,1.91,ok
372,Barrel,9.13,0.9,ok
373,Barrel,7.84,0.93,ok
374,Barrel,4.81,1.21,ok
375,Barrel,1.03,1.0,ok
376,Barrel,15.7,1.27,ok
377,Barrel,16.4,0.85,ok
378,Barrel,6.5,0.87,ok
379,Barrel,9.15,0.94,ok
380,Barrel,6.97,0.9,ok
381,Barrel,4.75,1.0,ok
382,Barrel,16.09,1.32,ok
383,Barrel,11.66,1.37,ok
384,Barrel,7.84,0.98,ok
385,Barrel,5.82,1.31,ok
386,Barrel,5.99,1.29,ok
387,Barrel,5.15,0.87,ok
388,Barrel,10.01,0.92,ok
389,Barrel,7.85,1.28,ok
390,Barrel,9.93,0.95,ok
391,Barrel,11.64,1.36,ok
392,Barrel,9.64,1.02,ok
393,Barrel,3.16,1.41,ok
394,Barrel,9.26,0.97,ok
395,Barrel,11.18,1.41,ok
396,Barrel,8.17,1.37,ok
397,Barrel,6.0,0.99,ok
398,Barrel,10.38,0.89,ok
399,Barrel,14.8,1.01,ok
400,Barrel,12.03,0.97,ok
401,Barrel,13.92,0.96,ok
402,Barrel,11.0,0.9,ok
403,Barrel,11.57,1.28,ok
404,Barrel,12.36,0.9,ok
405,Barrel,6.9,1.4,ok
406,Barrel,10.33,0.83,ok
407,Barrel,16.25,0.9,ok
409,Barrel,11.86,1.25,ok
410,Barrel,9.14,1.29,ok
411,Barrel,6.38,0.85,ok
412,Barrel,6.22,0.82,ok
413,Barrel,4.1,1.27,ok
414,Barrel,16.84,1.32,ok
415,Barrel,12.67,0.97,ok
416,Barrel,0,0,inactive
417,Barrel,7.98,1.45,ok
418,Barrel,7.96,2.28,unreliable
419,Barrel,17.9,1.92,ok
420,Barrel,6.82,1.96,ok
421,Barrel,11.13,1.96,ok
422,Barrel,11.53,2.0,ok
423,Barrel,9.71,2.84,ok
424,Barrel,8.68,1.92,ok
425,Barrel,12.89,2.32,ok
426,Barrel,10.84,2.51,ok
427,Barrel,7.92,1.37,ok
428,Barrel,10.07,2.24,ok
429,Barrel,12.23,1.01,ok
430,Barrel,7.6,2.0,ok
432,Barrel,11.94,1.57,ok
433,Barrel,12.1,1.47,ok
434,Barrel,9.58,1.85,ok
435,Barrel,12.41,1.5,ok
436,Barrel,8.17,1.43,ok
437,Barrel,4.91,1.57,ok
438,Barrel,14.03,2.01,ok
439,Barrel,10.26,1.57,ok
440,Barrel,5.55,2.54,ok
441,Barrel,9.52,2.28,ok
442,Barrel,12.17,1.58,ok
443,Barrel,16.01,2.88,ok
446,Barrel,10.01,2.45,ok
447,Barrel,12.17,1.49,ok
448,Barrel,11.31,1.55,ok
449,Barrel,13.17,1.32,ok
450,Barrel,5.7,1.88,ok
451,Barrel,6.34,1.46,ok
452,Barrel,12.1,1.42,ok
453,Barrel,0.0,1.55,ok
454,Barrel,8.29,1.04,ok
455,Barrel,17.55,1.42,ok
456,Barrel,9.53,1.53,unreliable
457,Barrel,10.18,1.6,ok
458,Barrel,10.18,1.54,ok
459,Barrel,9.69,1.99,ok
460,Barrel,5.08,1.04,ok
461,Barrel,9.32,1.59,ok
462,Barrel,17.05,2.13,ok
463,Barrel,16.18,1.44,ok
