#,,0=FMV,0=horizontal,,0=left,from left to right,,,,,,,,,,,,,,-1=no amp,-1=no amp,,,,,,,,,,,
#,,1=MRD,1=vertical,,1=right,from bottom to top,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,0=bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,1=top,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detector_num,channel_num,detector_system,orientation,layer,side,num,x_center,y_center,z_center,x_width,y_width,z_width,rack,TDC_slot,TDC_channel,discrim_slot,discrim_ch,patch_panel_row,patch_panel_col,amp_slot,amp_channel,hv_crate,hv_slot,hv_channel,nominal_HV,polarity,PMT_type,cable_label,paddle_label,notes,lemo/bnc splitter row,lemo/bnc splitter chan
########################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000,1000000,0,0,0,0,0,0,-198.699875,5.08,320,30.5,2,8,14,1,12,1,1,1,-1,-1,1,0,0,-1871,-1,EMI9815,MRD_x00_y00_z00,4SW,None,6,0
1000100,1000100,0,0,0,0,1,0,-167.999875,5.08,320,30.5,2,8,14,2,12,2,1,2,-1,-1,1,0,1,-1838,-1,EMI9815,MRD_x00_y01_z00,U39,None,6,1
1000200,1000200,0,0,0,0,2,0,-137.299875,5.08,320,30.5,2,8,14,3,12,3,1,3,-1,-1,1,0,2,-1793,-1,EMI9815,MRD_x00_y02_z00,U58 (or U38; bad writing),None,6,2
1000300,1000300,0,0,0,0,3,0,-106.599875,5.08,320,30.5,2,8,14,4,12,4,1,4,-1,-1,1,0,3,-1806,-1,EMI9815,MRD_x00_y03_z00,U29,None,6,3
1000400,1000400,0,0,0,0,4,0,-75.899875,5.08,320,30.5,2,8,14,5,12,5,1,5,-1,-1,1,0,5,-1865,-1,EMI9815,MRD_x00_y04_z00,14SW,None,6,4
1000500,1000500,0,0,0,0,5,0,-45.199875,5.08,320,30.5,2,8,14,6,12,6,1,6,-1,-1,1,0,6,-1823,-1,EMI9815,MRD_x00_y05_z00,Unknown4,None,6,5
1000600,1000600,0,0,0,0,6,0,-14.499875,5.08,320,30.5,2,8,14,7,12,7,1,7,-1,-1,1,0,7,-1798,-1,EMI9815,MRD_x00_y06_z00,U17,None,6,6
1000700,1000700,0,0,0,0,7,0,16.200125,5.08,320,30.5,2,8,14,8,12,8,1,8,-1,-1,1,0,8,-1823,-1,EMI9815,MRD_x00_y07_z00,11SE,None,6,7
1000800,1000800,0,0,0,0,8,0,46.900125,5.08,320,30.5,2,8,14,9,12,9,1,9,-1,-1,1,0,9,-1871,-1,EMI9815,MRD_x00_y08_z00,18SE,None,6,8
1000900,1000900,0,0,0,0,9,0,77.600125,5.08,320,30.5,2,8,14,10,12,10,1,10,-1,-1,1,0,10,-1836,-1,EMI9815,MRD_x00_y09_z00,21SW,None,6,9
1001000,1001000,0,0,0,0,10,0,108.300125,5.08,320,30.5,2,8,14,11,12,11,1,11,-1,-1,1,0,11,-1814,-1,EMI9815,MRD_x00_y10_z00,3SE,None,6,10
1001100,1001100,0,0,0,0,11,0,139.000125,5.08,320,30.5,2,8,14,12,12,12,1,12,-1,-1,1,0,12,-1781,-1,EMI9815,MRD_x00_y11_z00,24SE,None,6,11
1001200,1001200,0,0,0,0,12,0,169.700125,5.08,320,30.5,2,8,14,13,12,13,1,13,-1,-1,1,0,13,-1816,-1,EMI9815,MRD_x00_y12_z00,U25,None,6,12
1010000,1010000,0,0,0,1,0,0,-198.064875,7.28,320,30.5,2,8,14,14,13,1,2,1,-1,-1,1,0,14,-1805,-1,EMI9815,MRD_x01_y00_z00,28SE,None,7,0
1010100,1010100,0,0,0,1,1,0,-167.364875,7.28,320,30.5,2,8,14,15,13,2,2,2,-1,-1,1,0,15,-1818,-1,EMI9815,MRD_x01_y01_z00,31SE,None,7,1
1010200,1010200,0,0,0,1,2,0,-136.664875,7.28,320,30.5,2,8,14,16,13,3,2,3,-1,-1,1,0,16,-1860,-1,EMI9815,MRD_x01_y02_z00,8SE,None,7,2
1010300,1010300,0,0,0,1,3,0,-105.964875,7.28,320,30.5,2,8,14,17,13,4,2,4,-1,-1,1,0,17,-1780,-1,EMI9815,MRD_x01_y03_z00,11SW,None,7,3
1010400,1010400,0,0,0,1,4,0,-75.264875,7.28,320,30.5,2,8,14,18,13,5,2,5,-1,-1,1,0,18,-1841,-1,EMI9815,MRD_x01_y04_z00,U34,None,7,4
1010500,1010500,0,0,0,1,5,0,-44.564875,7.28,320,30.5,2,8,14,19,13,6,2,6,-1,-1,1,0,20,-1786,-1,EMI9815,MRD_x01_y05_z010,U36,None,7,5
1010600,1010600,0,0,0,1,6,0,-13.864875,7.28,320,30.5,2,8,14,20,13,7,2,7,-1,-1,1,0,21,-1864,-1,EMI9815,MRD_x01_y06_z00,U40,None,7,6
1010700,1010700,0,0,0,1,7,0,16.835125,7.28,320,30.5,2,8,14,21,13,8,2,8,-1,-1,1,0,22,-1858,-1,EMI9815,MRD_x01_y07_z00,Unknown5,None,7,7
1010800,1010800,0,0,0,1,8,0,47.535125,7.28,320,30.5,2,8,14,22,13,9,2,9,-1,-1,1,0,23,-1876,-1,EMI9815,MRD_x01_y08_z00,27SE,None,7,8
1010900,1010900,0,0,0,1,9,0,78.235125,7.28,320,30.5,2,8,14,23,13,10,2,10,-1,-1,1,1,0,-1806,-1,EMI9815,MRD_x01_y09_z00,Unknown2,None,7,9
1011000,1011000,0,0,0,1,10,0,108.935125,7.28,320,30.5,2,8,14,24,13,11,2,11,-1,-1,1,1,1,-1853,-1,EMI9815,MRD_x01_y10_z00,10SW,None,7,10
1011100,1011100,0,0,0,1,11,0,139.635125,7.28,320,30.5,2,8,14,25,13,12,2,12,-1,-1,1,1,2,-1860,-1,EMI9815,MRD_x01_y11_z00,Bill2,None,7,11
1011200,1011200,0,0,0,1,12,0,170.335125,7.28,320,30.5,2,8,14,26,13,13,2,13,-1,-1,1,1,3,-1844,-1,EMI9815,MRD_x01_y12_z00,13SE,None,7,12
1000002,1000002,1,0,2,0,0,-73.75,-121.8,336.38,147.2,20,0.6,7,17,1,15,1,1,1,-1,-1,1,1,4,-2000,-1,-9999,MRD_x00_y00_z02,MRD_x00_y00_z02,None,8,0
1000102,1000102,1,0,2,0,1,-73.75,-101.5,336.38,147.2,20,0.6,7,17,2,15,2,1,2,-1,-1,1,1,5,-2000,-1,-9999,MRD_x00_y01_z02,MRD_x00_y01_z02,None,8,1
1000202,1000202,1,0,2,0,2,-73.75,-81.2,336.38,147.2,20,0.6,7,17,3,15,3,1,3,-1,-1,1,1,6,-2000,-1,-9999,MRD_x00_y02_z02,MRD_x00_y02_z02,None,8,2
1000302,1000302,1,0,2,0,3,-73.75,-60.9,336.38,147.2,20,0.6,7,17,4,15,4,1,4,-1,-1,1,1,7,-2000,-1,-9999,MRD_x00_y03_z02,MRD_x00_y03_z02,None,8,3
1000402,1000402,1,0,2,0,4,-73.75,-40.6,336.38,147.2,20,0.6,7,17,5,15,5,1,5,-1,-1,1,1,8,-2000,-1,-9999,MRD_x00_y04_z02,MRD_x00_y04_z02,None,8,4
1000502,1000502,1,0,2,0,5,-73.75,-20.3,336.38,147.2,20,0.6,7,17,6,15,6,1,6,-1,-1,1,1,9,-2000,-1,-9999,MRD_x00_y05_z02,MRD_x00_y05_z02,None,8,5
1000602,1000602,1,0,2,0,6,-73.75,0,336.38,147.2,20,0.6,7,17,7,15,7,1,7,-1,-1,1,1,10,-2000,-1,-9999,MRD_x00_y06_z02,MRD_x00_y06_z02,None,8,6
1000702,1000702,1,0,2,0,7,-73.75,20.3,336.38,147.2,20,0.6,7,17,8,15,8,1,8,-1,-1,1,1,11,-2000,-1,-9999,MRD_x00_y07_z02,MRD_x00_y07_z02,None,8,7
1000802,1000802,1,0,2,0,8,-73.75,40.6,336.38,147.2,20,0.6,7,17,9,15,9,1,9,-1,-1,1,1,12,-2000,-1,-9999,MRD_x00_y08_z02,MRD_x00_y08_z02,None,8,8
1000902,1000902,1,0,2,0,9,-73.75,60.9,336.38,147.2,20,0.6,7,17,10,15,10,1,10,-1,-1,1,1,13,-2000,-1,-9999,MRD_x00_y09_z02,MRD_x00_y09_z02,None,8,9
1001002,1001002,1,0,2,0,10,-73.75,81.2,336.38,147.2,20,0.6,7,17,11,15,11,1,11,-1,-1,1,1,14,-2000,-1,-9999,MRD_x00_y10_z02,MRD_x00_y10_z02,None,8,10
